中文表名,英文表名,schema,业务域分类,来源系统候选,是否最上游源表,目录分类,判断原因,数仓层线索,负责人,行数,更新时间,产出任务,被路径任务读取,路径示例
ODS_抖音综合表,ODS_DOUYINZONGHEBIAO,cubeappdata,抖音主题,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,1428.0,2026-07-07 08:58:39,"ODS_抖音综合表【迁移】(mJ44GUeDiF, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> mJ44GUeDiF
ODS_抖音乘方推广花费表_填报,ODS_douyinchengfangtuiguanghuafei,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,64.0,2026-04-22 11:31:24,"ODS_抖音乘方推广花费表【迁移】(OgqA3SQ6bT, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
ODS_抖音乘方计划id_链接id_映射_RPA,ODS_jihuaidduiyingshangpinid,cubeappdata,抖音主题,影刀/RPA,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,13.0,2026-01-20 16:51:47,"ODS_抖音乘方计划id对应链接id表【迁移】(1beUE64XNH, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
ODS_抖音_部门每日人力成本_填报,UD_4971200913022541_BN8N5_dyrlcbtbxs1,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,包彦,3.0,2026-07-18 00:15:05,"抖音人力成本填报.xlsx【钉盘接入】(9OsVTMiWWO, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音_佑美运动户外_直播加热推广_填报,UD_5179579576634064_FTRED_dyzbjrtgymyd,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：excel更新,不规范命名,包彦,31.0,2025-12-16 15:24:24,"抖音直播加热推广-佑美运动户外【EXCEL】(lWKYjw3RvZ, excel更新)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> 0C42m71eLb
抖音综合表.xlsx-Sheet2,UD_5179579576634064_VMPYM_dyzhbxs2,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,李梦丽,1359.0,2026-07-18 11:00:07,"抖音综合表.xlsx【钉盘接入】(LkqMfbyv8e, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> LkqMfbyv8e
ODS_抖音_推广消耗流量表_RPA,doutuiguangliuliangshuju,cubeappdata,抖音主题,影刀/RPA,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,117790.0,2026-06-08 10:49:40,"抖音-推广消耗、流量表【迁移】(jowXVWAEml, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> wHcpHrnPGx -> Xj4AfORj0h
货品型号始发地,huopinxinghaoshifadi,cubeappdata,公共维表/成本/组织,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,1570.0,2026-04-13 17:08:09,"货品型号始发地【迁移】(wB80eUhvdf, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_售后列表信息表(抖店API),ods_api_dd_after_sale_list_info_du,cubeappdata,抖音主题,抖店/API,是,源表,上游真实使用 _du，未找到可替代的 _f 全量表；产出任务类型为接入/迁移类：连接器接入,ods,包彦,372328.0,2026-07-18 02:13:17,"ODS_售后列表信息表(抖店API)【连接器】(teQTjNS2jo, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_查询店铺联盟订单信息表(抖店API),ods_api_dd_buyin_query_shop_alliance_order_info_du,cubeappdata,抖音主题,抖店/API,是,源表,上游真实使用 _du，未找到可替代的 _f 全量表；产出任务类型为接入/迁移类：连接器接入,ods,包彦,339788.0,2026-07-18 02:24:12,"ODS_查询店铺联盟订单信息表(抖店API)【连接器】(QqqmUEVmQ7, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_商品详情信息表(抖店API),ods_api_dd_product_detail_info_du,cubeappdata,抖音主题,抖店/API,是,源表,上游真实使用 _du，未找到可替代的 _f 全量表；产出任务类型为接入/迁移类：连接器接入,ods,包彦,31294.0,2026-07-18 02:18:52,"ODS_商品详情信息表(抖店API)【连接器】(7iATpCqsy1, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> 4sMhrTjpMW -> yhAjbzPaTp -> CTuKHcQM5w -> PmgpigAQRE -> qhv7swmY4l
ODS_商家结算账单信息表(抖店API),ods_api_dd_settle_bill_detail_info_du,cubeappdata,抖音主题,抖店/API,是,源表,上游真实使用 _du，未找到可替代的 _f 全量表；产出任务类型为接入/迁移类：连接器接入,ods,包彦,537198.0,2026-07-18 10:04:33,"ODS_商家结算账单信息表(抖店API)【连接器】(nn44PwEKsM, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_部门信息表(钉钉API),ods_api_dingtalk_dept_info_f,cubeappdata,公共维表/成本/组织,钉钉/API,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,169.0,2026-07-18 02:14:56,"ods_api_dingtalk_dept_info_f【EtlDevelop任务】(TRAl2GEgxB, etl开发任务)",ods_api_dingtalk_dept_info_f【EtlDevelop任务】(TRAl2GEgxB),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> eAWHKCeJXl -> oi6J9yuQH8 -> t4O2bq0buA -> TRAl2GEgxB
ODS_用户信息表(钉钉API),ods_api_dingtalk_user_info_f,cubeappdata,公共维表/成本/组织,钉钉/API,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,629.0,2026-07-18 02:32:12,"ods_api_dingtalk_user_info_f【EtlDevelop任务】(NWgJ6lDXr9, etl开发任务)",ods_api_dingtalk_user_info_f【EtlDevelop任务】(NWgJ6lDXr9),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> eAWHKCeJXl -> oi6J9yuQH8 -> t4O2bq0buA -> 1Semn2dteT -> NWgJ6lDXr9
ODS_抖音账号信息表(巨量千川API),ods_api_jlqc_douyin_account_info_du,cubeappdata,抖音主题,巨量千川/投放,是,源表,上游真实使用 _du，未找到可替代的 _f 全量表；产出任务类型为接入/迁移类：连接器接入,ods,包彦,3956.0,2026-07-18 01:28:52,"ODS_抖音账号信息表(巨量千川API)【连接器】(ahuGb3XnjE, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> 8iqyOpnfDY
ODS_直播间列表信息表(巨量千川API),ods_api_jlqc_live_list_info_du,cubeappdata,抖音主题,巨量千川/投放,是,源表,上游真实使用 _du，未找到可替代的 _f 全量表；产出任务类型为接入/迁移类：连接器接入,ods,包彦,1474.0,2026-07-18 02:04:52,"ODS_直播间列表信息表(巨量千川API)【连接器】(2JAh8JnGKf, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> 8iqyOpnfDY
ODS_全域推广乘方直播间抖音号数据信息表(巨量千川API),ods_api_jlqc_uni_overall_roi_live_aweme_info_du,cubeappdata,抖音主题,巨量千川/投放,是,源表,上游真实使用 _du，未找到可替代的 _f 全量表；产出任务类型为接入/迁移类：连接器接入,ods,包彦,28.0,2026-07-17 05:02:52,"ODS_全域推广乘方直播间抖音号数据信息表(巨量千川API)【连接器】(S7sbIPZs12, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> S7sbIPZs12
