中文表名,英文表名,schema,业务域分类,来源系统候选,是否最上游源表,目录分类,判断原因,数仓层线索,负责人,行数,更新时间,产出任务,被路径任务读取,路径示例
ODS_抖音综合表,ODS_DOUYINZONGHEBIAO,cubeappdata,抖音主题,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,1428.0,2026-07-07 08:58:39,"ODS_抖音综合表【迁移】(mJ44GUeDiF, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> mJ44GUeDiF
ODS_佑美拼多多销售订单数据,ODS_YOUMEIPDDxiaoshoudingdanbiao,cubeappdata,跨域拼多多,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,8603902.0,2026-07-18 08:26:00,"ODS_佑美拼多多销售订单数据【迁移】(l0Koxecy0d, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音乘方推广花费表_填报,ODS_douyinchengfangtuiguanghuafei,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,64.0,2026-04-22 11:31:24,"ODS_抖音乘方推广花费表【迁移】(OgqA3SQ6bT, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
ODS_抖音乘方计划id_链接id_映射_RPA,ODS_jihuaidduiyingshangpinid,cubeappdata,抖音主题,影刀/RPA,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,13.0,2026-01-20 16:51:47,"ODS_抖音乘方计划id对应链接id表【迁移】(1beUE64XNH, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
ODS_抖音_部门每日人力成本_填报,UD_4971200913022541_BN8N5_dyrlcbtbxs1,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,包彦,3.0,2026-07-18 00:15:05,"抖音人力成本填报.xlsx【钉盘接入】(9OsVTMiWWO, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
拼多多佑美助攻数据.xlsx-拼多多助攻数据,UD_5179579576634064_7K5LO_pddymzgsjxpd,cubeappdata,跨域拼多多,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,李梦丽,511.0,2026-07-18 11:00:08,"拼多多佑美助攻数据.xlsx【钉盘接入】(GuaYTuK1ju, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
拼多多KUS助攻数据.xlsx-拼多多助攻数据,UD_5179579576634064_89GSE_pddkzgsjxpdd,cubeappdata,跨域拼多多,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,李梦丽,5363.0,2026-07-18 11:00:09,"拼多多KUS助攻数据.xlsx【钉盘接入】(bl8KDRRXZF, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
天猫综合表.xlsx-Sheet2,UD_5179579576634064_EB3YT_tmzhbxs2,cubeappdata,跨域天猫/淘宝,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,李梦丽,1424.0,2026-07-18 11:00:10,"天猫综合表.xlsx【钉盘接入】(THMXOEGi5s, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音_佑美运动户外_直播加热推广_填报,UD_5179579576634064_FTRED_dyzbjrtgymyd,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：excel更新,不规范命名,包彦,31.0,2025-12-16 15:24:24,"抖音直播加热推广-佑美运动户外【EXCEL】(lWKYjw3RvZ, excel更新)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> 0C42m71eLb
京东综合表.xlsx-京东综合表,UD_5179579576634064_RAEGP_jdzhbxjdzhb,cubeappdata,跨域京东,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,李梦丽,465.0,2026-07-18 11:00:10,"京东综合表.xlsx【钉盘接入】(WpcVdsAzkF, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音综合表_填报,UD_5179579576634064_XDLII_dyzhbxs1,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,李梦丽,1745.0,2026-07-18 11:00:07,"抖音综合表.xlsx【钉盘接入】(LkqMfbyv8e, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> LkqMfbyv8e
大件商品编码干线费保价费.xlsx-Sheet1,UD_6816162936700995_HP4G4_djspbmgxfbjf,cubeappdata,待确认域,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,蒋秀坤,360.0,2026-07-18 02:01:20,"大件商品编码干线费保价费.xlsx【钉盘接入】(H4wtwC5jv4, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音_推广消耗流量表_RPA,doutuiguangliuliangshuju,cubeappdata,抖音主题,影刀/RPA,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,117790.0,2026-06-08 10:49:40,"抖音-推广消耗、流量表【迁移】(jowXVWAEml, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> wHcpHrnPGx -> Xj4AfORj0h
天猫综合表,huizongbiao,cubeappdata,跨域天猫/淘宝,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,9832.0,2026-07-18 00:30:06,"汇总表【迁移】(dd65mm262W, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
货品型号始发地,huopinxinghaoshifadi,cubeappdata,公共维表/成本/组织,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,1570.0,2026-04-13 17:08:09,"货品型号始发地【迁移】(wB80eUhvdf, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
京东佑美旗舰店_刷单数据,jingdong_youmeiqijiandianshuandanshuju,cubeappdata,跨域京东,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,张黄伟,1398.0,2026-06-26 17:16:49,"京东佑美旗舰店_刷单数据【迁移】(h6AP9tJVv9, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
京东佑美旗舰店_销售数据,jingdongxiaohsoushuju,cubeappdata,跨域京东,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,117664.0,2026-07-18 08:22:33,"京东佑美旗舰店_销售数据【迁移】(LgsTeae8S9, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
京东综合表,jingdongzonghebiao,cubeappdata,跨域京东,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,3713.0,2026-04-14 10:56:02,"京东综合表【迁移】(SvwXXjCWmZ, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
拼多多KUS助攻数据,kuszhugong,cubeappdata,跨域拼多多,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,2359.0,2026-04-15 10:40:56,"拼多多KUS助攻数据【迁移】(EDgRk0iCgc, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_售后列表信息表(抖店API),ods_api_dd_after_sale_list_info_du,cubeappdata,抖音主题,抖店/API,是,源表,上游真实使用 _du，未找到可替代的 _f 全量表；产出任务类型为接入/迁移类：连接器接入,ods,包彦,372328.0,2026-07-18 02:13:17,"ODS_售后列表信息表(抖店API)【连接器】(teQTjNS2jo, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
